caminho,classe,origem_dataset,origem_pasta,categoria_original,imagem_original,split_roboflow_original,bbox_w,bbox_h,crop_w,crop_h
dataset\_work\crops\lettuce_v1i\anomala\images-11-_jpg.rf.9c0b291cc0ddfd1743b665f9e44aff3c__ann10629.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-11-_jpg.rf.9c0b291cc0ddfd1743b665f9e44aff3c.jpg,train,226,174,245,187
dataset\_work\crops\lettuce_v1i\anomala\lettuce-botrytis_jpg.rf.9c29cc6b75ee4c44893a061a25dc5182__ann10630.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,lettuce-botrytis_jpg.rf.9c29cc6b75ee4c44893a061a25dc5182.jpg,train,39,109.5,43,118
dataset\_work\crops\lettuce_v1i\anomala\soft-rot-1-1-_jpg.rf.9c5118ca029c5ad51b506297a9f85b97__ann10631.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,soft-rot-1-1-_jpg.rf.9c5118ca029c5ad51b506297a9f85b97.jpg,train,133,230,143,248
dataset\_work\crops\lettuce_v1i\anomala\images-16-_jpg.rf.9c2073f06cfb00bd5d98bb152b01caf5__ann10632.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-16-_jpg.rf.9c2073f06cfb00bd5d98bb152b01caf5.jpg,train,121,187,131,211
dataset\_work\crops\lettuce_v1i\anomala\s19_jpg.rf.9c16dfbd53ef175ee71d113c0e038df5__ann10633.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s19_jpg.rf.9c16dfbd53ef175ee71d113c0e038df5.jpg,train,27,196,30,227
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9c566b359dc31e191a4cc5585fc237e3__ann10634.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-15-_jpg.rf.9c566b359dc31e191a4cc5585fc237e3.jpg,train,148,219,159,236
dataset\_work\crops\lettuce_v1i\anomala\istockphoto-459957419-1024x1024_jpg.rf.9c55fe73c7db8c5f8d0719a2cdcabec0__ann10635.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,istockphoto-459957419-1024x1024_jpg.rf.9c55fe73c7db8c5f8d0719a2cdcabec0.jpg,train,40,130,43,140
dataset\_work\crops\lettuce_v1i\anomala\ba14_jpg.rf.9c44e6a0cead2858f2adc9762f0154c4__ann10636.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba14_jpg.rf.9c44e6a0cead2858f2adc9762f0154c4.jpg,train,172,109,190,118
dataset\_work\crops\lettuce_v1i\anomala\s15_jpg.rf.9c6aba9be115d8834182c990dc2d7471__ann10637.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s15_jpg.rf.9c6aba9be115d8834182c990dc2d7471.jpg,train,140,201,151,218
dataset\_work\crops\lettuce_v1i\saudavel\69_JPG_jpg.rf.9c374ee859bb0296ff69b19a5427c59b__ann10638.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,69_JPG_jpg.rf.9c374ee859bb0296ff69b19a5427c59b.jpg,train,256,256,256,256
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9c0c4fc1dfc877d66ce3f88d6302671b__ann10639.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-15-_jpg.rf.9c0c4fc1dfc877d66ce3f88d6302671b.jpg,train,245,102,256,111
dataset\_work\crops\lettuce_v1i\anomala\-6-_jpg.rf.9c3792477284b6890c4f0fdd83123ae9__ann10640.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,-6-_jpg.rf.9c3792477284b6890c4f0fdd83123ae9.jpg,train,245,217,256,234
dataset\_work\crops\lettuce_v1i\anomala\Septoria_lactucae73_200x200_jpg.rf.9c8aea3805b470a82ddc8c8798755eac__ann10641.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,Septoria_lactucae73_200x200_jpg.rf.9c8aea3805b470a82ddc8c8798755eac.jpg,train,256,256,256,256
dataset\_work\crops\lettuce_v1i\anomala\ba8_jpg.rf.9c63defed76a7d575a24f0182525b04e__ann10642.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba8_jpg.rf.9c63defed76a7d575a24f0182525b04e.jpg,train,137.5,104,149,113
dataset\_work\crops\lettuce_v1i\anomala\images-27-_jpg.rf.9c72ee71785af18a89e1d68adb3a998b__ann10643.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-27-_jpg.rf.9c72ee71785af18a89e1d68adb3a998b.jpg,train,153,189,166,204
dataset\_work\crops\lettuce_v1i\saudavel\8_JPG_jpg.rf.9c874588a06eadfa342bfd701fb597b0__ann10644.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,8_JPG_jpg.rf.9c874588a06eadfa342bfd701fb597b0.jpg,train,239,139,256,151
dataset\_work\crops\lettuce_v1i\saudavel\161_JPG_jpg.rf.9c874d9b298277690b1271cb3f0ef1ad__ann10645.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,161_JPG_jpg.rf.9c874d9b298277690b1271cb3f0ef1ad.jpg,train,182,91,197,98
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9c46897078b577e44f860ce1bf1aa1ac__ann10646.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-15-_jpg.rf.9c46897078b577e44f860ce1bf1aa1ac.jpg,train,27,179,29,208
dataset\_work\crops\lettuce_v1i\anomala\-_jpg.rf.9c6a3096c14b5e37bc30eec6ae0cbfed__ann10647.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,-_jpg.rf.9c6a3096c14b5e37bc30eec6ae0cbfed.jpg,train,196,207,212,224
dataset\_work\crops\lettuce_v1i\saudavel\69_JPG_jpg.rf.9bf31e4538be3338de4826daa1993edd__ann10648.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,69_JPG_jpg.rf.9bf31e4538be3338de4826daa1993edd.jpg,train,252,191,256,207
dataset\_work\crops\lettuce_v1i\anomala\s12_jpg.rf.9c81c63b0ea851acc75b72f3dc1f4864__ann10649.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s12_jpg.rf.9c81c63b0ea851acc75b72f3dc1f4864.jpg,train,256,256,256,256
dataset\_work\crops\lettuce_v1i\saudavel\47_jpg.rf.9c76d66883cf3a9d075543254cd9113a__ann10650.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,47_jpg.rf.9c76d66883cf3a9d075543254cd9113a.jpg,train,256,202,256,219
dataset\_work\crops\lettuce_v1i\anomala\28_jpg.rf.9ca49920cac820dd7e3d6976c708a501__ann10651.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,28_jpg.rf.9ca49920cac820dd7e3d6976c708a501.jpg,train,159,180,172,195
dataset\_work\crops\lettuce_v1i\anomala\images-3-_jpg.rf.9c340c0ff4c72812463cff703dcf7471__ann10652.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-3-_jpg.rf.9c340c0ff4c72812463cff703dcf7471.jpg,train,256,256,256,256
dataset\_work\crops\lettuce_v1i\anomala\Untitled_png_jpg.rf.9c64b5fde9460ae143c3976649e51171__ann10653.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,Untitled_png_jpg.rf.9c64b5fde9460ae143c3976649e51171.jpg,train,223,151,242,163
dataset\_work\crops\lettuce_v1i\anomala\Untitled_png_jpg.rf.9c64b5fde9460ae143c3976649e51171__ann10654.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,Untitled_png_jpg.rf.9c64b5fde9460ae143c3976649e51171.jpg,train,207,137,224,148
dataset\_work\crops\lettuce_v1i\saudavel\21_JPG_jpg.rf.9c4763ecbfcfe59e352558591af4718a__ann10655.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,21_JPG_jpg.rf.9c4763ecbfcfe59e352558591af4718a.jpg,train,212,256,228,256
dataset\_work\crops\lettuce_v1i\saudavel\19_JPG_jpg.rf.9c9dff20201b93762413d94ed7c43260__ann10656.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,19_JPG_jpg.rf.9c9dff20201b93762413d94ed7c43260.jpg,train,256,211,256,227
dataset\_work\crops\lettuce_v1i\anomala\ba5_jpg.rf.9ca6b883f4a2d465ac9d092188c24283__ann10657.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba5_jpg.rf.9ca6b883f4a2d465ac9d092188c24283.jpg,train,219,108,236,117
dataset\_work\crops\lettuce_v1i\anomala\11_jpg.rf.9c7bb0f355e3c7a2eb348070b7bbf945__ann10658.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,11_jpg.rf.9c7bb0f355e3c7a2eb348070b7bbf945.jpg,train,213.5,229.5,230,247
dataset\_work\crops\lettuce_v1i\saudavel\92_JPG_jpg.rf.9ca0aa2614f49b3fd9f37be167161ee0__ann10659.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,92_JPG_jpg.rf.9ca0aa2614f49b3fd9f37be167161ee0.jpg,train,79,73,85,79
dataset\_work\crops\lettuce_v1i\saudavel\fresh_230616_161724_jpg.rf.9c8d31a226696f20a8c4a7d6544256b4__ann10660.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,fresh_230616_161724_jpg.rf.9c8d31a226696f20a8c4a7d6544256b4.jpg,train,30,182,32,196
dataset\_work\crops\lettuce_v1i\saudavel\fresh_230616_161724_jpg.rf.9c8d31a226696f20a8c4a7d6544256b4__ann10661.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,fresh_230616_161724_jpg.rf.9c8d31a226696f20a8c4a7d6544256b4.jpg,train,243,232,256,250
dataset\_work\crops\lettuce_v1i\anomala\-8-_jpg.rf.9c746a6791565c666c9e7a7034c8f181__ann10662.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,-8-_jpg.rf.9c746a6791565c666c9e7a7034c8f181.jpg,train,72,44,78,51
dataset\_work\crops\lettuce_v1i\saudavel\CTLFKK2FPYXW_jpg.rf.9ca6489d0433bf566ec2b0f4ecc794dc__ann10663.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,CTLFKK2FPYXW_jpg.rf.9ca6489d0433bf566ec2b0f4ecc794dc.jpg,train,189,185,204,199
dataset\_work\crops\lettuce_v1i\anomala\11104_jpg.rf.9c10cbdbfcd2eed54b7b5bf7bb5a2d5a__ann10664.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,11104_jpg.rf.9c10cbdbfcd2eed54b7b5bf7bb5a2d5a.jpg,train,121,192,131,208
dataset\_work\crops\lettuce_v1i\saudavel\68_JPG_jpg.rf.9c93991872e54da45a6db3f79b2b03b6__ann10665.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,68_JPG_jpg.rf.9c93991872e54da45a6db3f79b2b03b6.jpg,train,204,121,224,130
dataset\_work\crops\lettuce_v1i\saudavel\157_JPG_jpg.rf.9cb557e2a1c2b6491b123e8c4fdd1ed4__ann10666.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,157_JPG_jpg.rf.9cb557e2a1c2b6491b123e8c4fdd1ed4.jpg,train,153,49,166,53
dataset\_work\crops\lettuce_v1i\anomala\ba9_jpg.rf.9c9b32b769ce4591c384b95ae7c9532d__ann10667.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba9_jpg.rf.9c9b32b769ce4591c384b95ae7c9532d.jpg,train,233,253,251,256
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9ca9362ff13fda716d5bbb8750e97177__ann10668.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-15-_jpg.rf.9ca9362ff13fda716d5bbb8750e97177.jpg,train,181,191,210,206
dataset\_work\crops\lettuce_v1i\anomala\ba9_jpg.rf.9ce7db3280a588241a499fa28ee5e1b7__ann10669.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba9_jpg.rf.9ce7db3280a588241a499fa28ee5e1b7.jpg,train,238,204,256,220
dataset\_work\crops\lettuce_v1i\anomala\soft-rot-1-1-_jpg.rf.9cb9bfefcc6ea670db3eee1088d4514b__ann10670.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,soft-rot-1-1-_jpg.rf.9cb9bfefcc6ea670db3eee1088d4514b.jpg,train,223,136,241,146
dataset\_work\crops\lettuce_v1i\anomala\11105_jpg.rf.9c8db9a76274e79580db3d7c6094b0de__ann10671.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,11105_jpg.rf.9c8db9a76274e79580db3d7c6094b0de.jpg,train,16,149,17,172
dataset\_work\crops\lettuce_v1i\anomala\11105_jpg.rf.9c8db9a76274e79580db3d7c6094b0de__ann10672.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,11105_jpg.rf.9c8db9a76274e79580db3d7c6094b0de.jpg,train,240,169,256,182
dataset\_work\crops\lettuce_v1i\anomala\ba12_jpg.rf.9cec078188848958abe82823122b6c7e__ann10673.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba12_jpg.rf.9cec078188848958abe82823122b6c7e.jpg,train,192,223,208,241
dataset\_work\crops\lettuce_v1i\anomala\ba8_jpg.rf.9ca19eafd8a64171ac473dd5d0278831__ann10674.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba8_jpg.rf.9ca19eafd8a64171ac473dd5d0278831.jpg,train,116,136,126,147
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9cac419a4bc4f6268b221a75cd781725__ann10675.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-15-_jpg.rf.9cac419a4bc4f6268b221a75cd781725.jpg,train,225,194,254,210
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9cf3935792542c07ed1fa56bca2393a5__ann10676.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-15-_jpg.rf.9cf3935792542c07ed1fa56bca2393a5.jpg,train,68,102,73,119
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9ce1cfe8e61e7bd78a9c2de922f93ce5__ann10677.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-15-_jpg.rf.9ce1cfe8e61e7bd78a9c2de922f93ce5.jpg,train,199,97,215,105
dataset\_work\crops\lettuce_v1i\anomala\ba18_jpg.rf.9ced2460b2e6c048e0f9a93578ef28a8__ann10678.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba18_jpg.rf.9ced2460b2e6c048e0f9a93578ef28a8.jpg,train,113,230,123,248
dataset\_work\crops\lettuce_v1i\anomala\images-2-_jpg.rf.9cca41fb414838b285c9211868373dfc__ann10679.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-2-_jpg.rf.9cca41fb414838b285c9211868373dfc.jpg,train,142,248,153,256
dataset\_work\crops\lettuce_v1i\anomala\-3-_jpg.rf.9c8c0966a4e81085c9fdec31ebd1500a__ann10680.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,-3-_jpg.rf.9c8c0966a4e81085c9fdec31ebd1500a.jpg,train,135,61,156,66
dataset\_work\crops\lettuce_v1i\anomala\ba14_jpg.rf.9c8dbcd9cfac1aee1914487aa88b479c__ann10681.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba14_jpg.rf.9c8dbcd9cfac1aee1914487aa88b479c.jpg,train,106,165,114,178
dataset\_work\crops\lettuce_v1i\anomala\22_jpg.rf.9cbeba1dc65af504e99c5bf2f5ee07a6__ann10682.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,22_jpg.rf.9cbeba1dc65af504e99c5bf2f5ee07a6.jpg,train,121.5,249,132,256
dataset\_work\crops\lettuce_v1i\anomala\images-16-_jpg.rf.9cf21c946c8ee620061a85c7a122e7c5__ann10683.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-16-_jpg.rf.9cf21c946c8ee620061a85c7a122e7c5.jpg,train,127,156,138,168
dataset\_work\crops\lettuce_v1i\saudavel\26_JPG_jpg.rf.9ccc36424e92d495b8ed5a4f24a8b184__ann10684.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,26_JPG_jpg.rf.9ccc36424e92d495b8ed5a4f24a8b184.jpg,train,240,250,256,256
dataset\_work\crops\lettuce_v1i\anomala\s07_jpg.rf.9ceda76463e6e29da29cb4cd89c64d48__ann10685.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s07_jpg.rf.9ceda76463e6e29da29cb4cd89c64d48.jpg,train,246,256,256,256
dataset\_work\crops\lettuce_v1i\anomala\11100_jpg.rf.9cd3360353e88364cd170f623974e389__ann10686.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,11100_jpg.rf.9cd3360353e88364cd170f623974e389.jpg,train,45,182.5,48,212
dataset\_work\crops\lettuce_v1i\anomala\s04_jpg.rf.9d0955f9a4b10f887f66e92b1666e5f4__ann10687.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s04_jpg.rf.9d0955f9a4b10f887f66e92b1666e5f4.jpg,train,205,256,222,256
dataset\_work\crops\lettuce_v1i\anomala\s02_jpg.rf.9cf43c07d545df05c37952223be25bb8__ann10688.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s02_jpg.rf.9cf43c07d545df05c37952223be25bb8.jpg,train,248,209,256,225
dataset\_work\crops\lettuce_v1i\anomala\images-28-_jpg.rf.9cf2671eaa8b84427688e914876d5a73__ann10689.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-28-_jpg.rf.9cf2671eaa8b84427688e914876d5a73.jpg,train,113.5,188,122,204
dataset\_work\crops\lettuce_v1i\anomala\s03_jpg.rf.9d1c6c35e42d32258b43c2e0f9df9504__ann10690.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s03_jpg.rf.9d1c6c35e42d32258b43c2e0f9df9504.jpg,train,129,254,139,256
dataset\_work\crops\lettuce_v1i\anomala\s19_jpg.rf.9cbdf4a756d06fdccc25f39bd6d3c0b7__ann10691.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,s19_jpg.rf.9cbdf4a756d06fdccc25f39bd6d3c0b7.jpg,train,182,185,196,214
dataset\_work\crops\lettuce_v1i\anomala\ba8_jpg.rf.9cb6b05849355b21a564fb474b5400d8__ann10692.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba8_jpg.rf.9cb6b05849355b21a564fb474b5400d8.jpg,train,101,150,109,172
dataset\_work\crops\lettuce_v1i\saudavel\fresh_230616_161455_jpg.rf.9d18d0706695ad45e60d58b90b6d50c8__ann10693.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,fresh_230616_161455_jpg.rf.9d18d0706695ad45e60d58b90b6d50c8.jpg,train,167,256,180,256
dataset\_work\crops\lettuce_v1i\anomala\ba14_jpg.rf.9cfdccf11cfdd860601b5a125eab5fcf__ann10694.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,ba14_jpg.rf.9cfdccf11cfdd860601b5a125eab5fcf.jpg,train,225,95,243,103
dataset\_work\crops\lettuce_v1i\anomala\istockphoto-459957419-1024x1024_jpg.rf.9d415fb887d8f4d1776ff4683a6aad47__ann10695.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,istockphoto-459957419-1024x1024_jpg.rf.9d415fb887d8f4d1776ff4683a6aad47.jpg,train,45,40,48,43
dataset\_work\crops\lettuce_v1i\anomala\istockphoto-459957419-1024x1024_jpg.rf.9d415fb887d8f4d1776ff4683a6aad47__ann10696.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,istockphoto-459957419-1024x1024_jpg.rf.9d415fb887d8f4d1776ff4683a6aad47.jpg,train,131,130,152,140
dataset\_work\crops\lettuce_v1i\anomala\images-27-_jpg.rf.9d51258b42a7c3691410428a27a0b4ad__ann10697.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-27-_jpg.rf.9d51258b42a7c3691410428a27a0b4ad.jpg,train,148,177.5,160,193
dataset\_work\crops\lettuce_v1i\anomala\images-21-_jpg.rf.9d1b3e38a608dfd7cd0deea4e853137e__ann10698.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-21-_jpg.rf.9d1b3e38a608dfd7cd0deea4e853137e.jpg,train,229.5,256,247,256
dataset\_work\crops\lettuce_v1i\saudavel\42_JPG_jpg.rf.9d0d64f18971ff0bd264b1a3c3d25be1__ann10699.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,42_JPG_jpg.rf.9d0d64f18971ff0bd264b1a3c3d25be1.jpg,train,130,53,151,57
dataset\_work\crops\lettuce_v1i\anomala\images-15-_jpg.rf.9d506d39613c7a3e9be32346d859520b__ann10700.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-15-_jpg.rf.9d506d39613c7a3e9be32346d859520b.jpg,train,250,88,256,96
dataset\_work\crops\lettuce_v1i\anomala\images-5-_jpg.rf.9cff6afdb214d5505171d9f5f8fce510__ann10701.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-5-_jpg.rf.9cff6afdb214d5505171d9f5f8fce510.jpg,train,216,38,234,41
dataset\_work\crops\lettuce_v1i\anomala\28_jpg.rf.9d2b99a31d707b0155a8c4860ed8feea__ann10702.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,28_jpg.rf.9d2b99a31d707b0155a8c4860ed8feea.jpg,train,171,244,184,256
dataset\_work\crops\lettuce_v1i\saudavel\46_JPG_jpg.rf.9cf9a368e5b32ef5ea6e49d9cae5e1ad__ann10703.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,46_JPG_jpg.rf.9cf9a368e5b32ef5ea6e49d9cae5e1ad.jpg,train,122,173,132,186
dataset\_work\crops\lettuce_v1i\saudavel\43_JPG_jpg.rf.9d3615bd20ddb2149b637f468145b353__ann10704.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,43_JPG_jpg.rf.9d3615bd20ddb2149b637f468145b353.jpg,train,94,166,101,179
dataset\_work\crops\lettuce_v1i\anomala\soft-rot-1-1-_jpg.rf.9d4e2fc5ccf06589d7ec85e1c1bd8cca__ann10705.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Bacterial,soft-rot-1-1-_jpg.rf.9d4e2fc5ccf06589d7ec85e1c1bd8cca.jpg,train,154,234,167,253
dataset\_work\crops\lettuce_v1i\saudavel\76_JPG_jpg.rf.9d488e1a6627e42148d422da524e4e29__ann10706.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,76_JPG_jpg.rf.9d488e1a6627e42148d422da524e4e29.jpg,train,24,137,25,158
dataset\_work\crops\lettuce_v1i\saudavel\fresh_230616_161457_jpg.rf.9d3f04e1f3e3650ad5984f964e988444__ann10707.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,fresh_230616_161457_jpg.rf.9d3f04e1f3e3650ad5984f964e988444.jpg,train,31,186,34,200
dataset\_work\crops\lettuce_v1i\saudavel\fresh_230616_161457_jpg.rf.9d3f04e1f3e3650ad5984f964e988444__ann10708.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,fresh_230616_161457_jpg.rf.9d3f04e1f3e3650ad5984f964e988444.jpg,train,245,190,256,205
dataset\_work\crops\lettuce_v1i\anomala\images-2-_jpg.rf.9d55a3e839dcfaace64f7af0669bb4e4__ann10709.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,images-2-_jpg.rf.9d55a3e839dcfaace64f7af0669bb4e4.jpg,train,243,114,256,123
dataset\_work\crops\lettuce_v1i\anomala\22_jpg.rf.9d69ecfa2965ef296ebade26e037d6c7__ann10710.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Downy_mildew_on_lettuce,22_jpg.rf.9d69ecfa2965ef296ebade26e037d6c7.jpg,train,211,256,227,256
dataset\_work\crops\lettuce_v1i\anomala\images-1-_jpg.rf.9d548f9dd5eff7800b649196bbbdab19__ann10711.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-1-_jpg.rf.9d548f9dd5eff7800b649196bbbdab19.jpg,train,125,239,135,256
dataset\_work\crops\lettuce_v1i\anomala\images-1-_jpg.rf.9d548f9dd5eff7800b649196bbbdab19__ann10712.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-1-_jpg.rf.9d548f9dd5eff7800b649196bbbdab19.jpg,train,135,85,148,91
dataset\_work\crops\lettuce_v1i\anomala\images-9-_jpg.rf.9d5601007440f4bacff84b16d4cebf9a__ann10713.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-9-_jpg.rf.9d5601007440f4bacff84b16d4cebf9a.jpg,train,256,256,256,256
dataset\_work\crops\lettuce_v1i\anomala\bacterialleafspot3_600px_jpg.rf.9d277595d6a430d656593f74f41c91dc__ann10714.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,bacterialleafspot3_600px_jpg.rf.9d277595d6a430d656593f74f41c91dc.jpg,train,93,102,101,119
dataset\_work\crops\lettuce_v1i\anomala\images-11-_jpg.rf.9d7010c21d103d0ba0f72dadf57cd704__ann10715.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,images-11-_jpg.rf.9d7010c21d103d0ba0f72dadf57cd704.jpg,train,212,157.5,228,171
dataset\_work\crops\lettuce_v1i\anomala\ba17_jpg.rf.9d604db049ac663d5abe56209e990755__ann10716.jpg,anomala,lettuce_v1i,Lettuce.v1i.coco (1),Septoria_Blight_on_lettuce,ba17_jpg.rf.9d604db049ac663d5abe56209e990755.jpg,train,193,35,209,38
dataset\_work\crops\lettuce_v1i\saudavel\107_JPG_jpg.rf.9d12c62b2ad9bba1ab2c720798f88bee__ann10717.jpg,saudavel,lettuce_v1i,Lettuce.v1i.coco (1),normal,107_JPG_jpg.rf.9d12c62b2ad9bba1ab2c720798f88bee.jpg,train,163,145,176,156
